Model,Vocab Size,LTE mean,LTE std,LTE.ad.rat,Perplexity mean,Perplexity std,LLMaaJ S. Mean,LLMaaJ S. std
vanilla_chatgpt_prompted,100,0.16,0.11,0.19,1.23,0.11,,
vanilla_vllm_prompted,100,0.5,0.11,0.0,1.24,0.01,,
custom qwen,100,0.54,0.09,0.0,2.95,0.21,4.1,0.44
custom_qwen_w_llmaaj,100,0.54,0.09,0.0,2.94,0.21,4.11,0.44
vanilla_chatgpt_unconstrained,100,0.61,0.04,0.0,1.1,0.06,,
vanilla_vllm_unconstrained,100,0.62,0.06,0.0,1.21,0.01,,
vanilla_chatgpt_prompted,500,0.07,0.09,0.44,1.12,0.04,,
custom_qwen_w_llmaaj,500,0.16,0.07,0.0,1.95,0.26,3.53,0.76
custom qwen,500,0.17,0.06,0.0,2.08,0.19,3.26,1.0
vanilla_chatgpt_unconstrained,500,0.25,0.06,0.0,1.1,0.04,,
vanilla_vllm_prompted,500,0.26,0.13,0.02,1.21,0.0,,
vanilla_vllm_unconstrained,500,0.28,0.1,0.0,1.2,0.0,,
custom qwen,2000,0.01,0.02,0.8,1.53,0.1,3.62,0.84
custom_qwen_w_llmaaj,2000,0.01,0.02,0.8,1.5,0.11,3.71,0.77
vanilla_vllm_prompted,2000,0.01,0.03,0.73,1.3,0.02,,
vanilla_chatgpt_prompted,2000,0.01,0.03,0.68,1.12,0.04,,
vanilla_vllm_unconstrained,2000,0.03,0.04,0.4,1.24,0.03,,
vanilla_chatgpt_unconstrained,2000,0.05,0.04,0.17,1.1,0.05,,
